time(msec), lat(ns), read0_write1, offset
230000, 66111, 1, 0
230250, 56228, 1, 0
230250, 104810, 0, 0
230500, 54384, 0, 0
230500, 58068, 1, 0
230625, 93726, 0, 0
230750, 56365, 0, 0
231000, 115673, 0, 0
231250, 128252, 0, 0
231500, 112385, 0, 0
231500, 44359, 1, 0
232000, 109956, 0, 0
232000, 41798, 1, 0
232250, 120134, 0, 0
232375, 106850, 0, 0
232500, 39633, 0, 0
232500, 32422, 1, 0
232750, 109549, 0, 0
233000, 75312, 1, 0
233000, 87594, 0, 0
233250, 190200, 0, 0
234000, 70025, 1, 0
234250, 106974, 0, 0
234500, 64660, 1, 0
234500, 107489, 0, 0
234750, 57596, 1, 0
234750, 89877, 0, 0
235000, 104234, 0, 0
235000, 36898, 1, 0
235125, 129217, 0, 0
235250, 55476, 1, 0
235375, 105345, 0, 0
235500, 55435, 1, 0
235625, 113112, 0, 0
235750, 58769, 1, 0
235875, 123785, 0, 0
236000, 78615, 1, 0
236125, 166770, 0, 0
237000, 101457, 1, 0
237125, 120836, 0, 0
237375, 59060, 0, 0
237625, 108193, 0, 0
237750, 196372, 0, 0
238000, 56212, 1, 0
238250, 40145, 1, 0
238750, 105933, 0, 0
238750, 35225, 1, 0
238875, 78751, 1, 0
239000, 103517, 0, 0
239125, 124953, 0, 0
239625, 130635, 0, 0
239875, 194364, 0, 0
239875, 36394, 1, 0
240125, 47517, 1, 0
240250, 41345, 1, 0
240500, 67512, 1, 0
240750, 70528, 1, 0
240875, 94746, 0, 0
241000, 74380, 1, 0
241125, 122217, 0, 0
241250, 172368, 0, 0
241500, 48893, 1, 0
241625, 63568, 1, 0
242250, 117001, 0, 0
242500, 103993, 0, 0
242625, 55815, 1, 0
242750, 120552, 0, 0
242875, 74020, 1, 0
243000, 107017, 0, 0
243257, 7876150, 0, 0
243500, 111645, 0, 0
243750, 126192, 0, 0
243875, 59988, 1, 0
244125, 53865, 1, 0
244250, 60645, 1, 0
244250, 97373, 0, 0
244750, 47070, 1, 0
244750, 51804, 0, 0
245000, 33254, 1, 0
245250, 128644, 0, 0
245250, 59900, 1, 0
245750, 105542, 0, 0
245875, 206980, 0, 0
246250, 54404, 1, 0
246500, 56393, 1, 0
246750, 58528, 1, 0
246875, 47836, 1, 0
246875, 91399, 0, 0
247000, 54444, 1, 0
247125, 47974, 1, 0
247125, 189004, 0, 0
247250, 76511, 1, 0
248125, 134340, 0, 0
248250, 59897, 1, 0
248500, 55445, 1, 0
248625, 105701, 0, 0
248750, 68225, 1, 0
248750, 89650, 0, 0
249000, 76319, 1, 0
249000, 149926, 0, 0
249250, 46659, 1, 0
249750, 60937, 1, 0
249875, 56076, 1, 0
250000, 107405, 0, 0
250125, 61588, 1, 0
250250, 169130, 0, 0
250625, 64880, 1, 0
250875, 49396, 1, 0
251000, 56417, 1, 0
251250, 109688, 0, 0
251250, 52220, 1, 0
251375, 125500, 0, 0
251750, 61701, 1, 0
251875, 123080, 0, 0
252000, 56372, 1, 0
252125, 118676, 0, 0
252250, 204040, 0, 0
252250, 48732, 1, 0
252750, 63968, 1, 0
253250, 117920, 0, 0
253250, 45518, 1, 0
253750, 85023, 1, 0
253750, 113014, 0, 0
254250, 108889, 0, 0
254500, 207830, 0, 0
254750, 64151, 1, 0
254875, 60400, 1, 0
255375, 59540, 1, 0
255500, 70180, 0, 0
255875, 62047, 1, 0
256000, 73127, 1, 0
256500, 104634, 0, 0
256625, 124125, 0, 0
256875, 90392, 0, 0
257000, 79207, 1, 0
257125, 111486, 0, 0
257125, 43989, 1, 0
257375, 199380, 0, 0
257625, 56660, 1, 0
257750, 34858, 1, 0
258000, 70880, 1, 0
258250, 84514, 1, 0
258376, 1571268, 0, 0
258875, 128204, 0, 0
259125, 121767, 0, 0
259250, 56572, 1, 0
259375, 125025, 0, 0
259500, 49489, 1, 0
259500, 104797, 0, 0
259625, 58120, 1, 0
259750, 122696, 0, 0
259875, 57020, 1, 0
260000, 77688, 0, 0
260125, 75535, 0, 0
260125, 58342, 1, 0
261125, 204027, 0, 0
261125, 38489, 1, 0
261375, 49017, 1, 0
261500, 56233, 1, 0
261750, 56676, 1, 0
262000, 38270, 1, 0
262125, 117017, 0, 0
262500, 91882, 1, 0
262625, 108593, 0, 0
262875, 110640, 0, 0
263125, 122744, 0, 0
263375, 203995, 0, 0
263500, 57125, 1, 0
263750, 52756, 1, 0
263875, 58016, 1, 0
264125, 73115, 1, 0
264375, 211479, 0, 0
265125, 81055, 1, 0
265375, 132992, 0, 0
265375, 32409, 1, 0
265500, 56109, 1, 0
265750, 56840, 1, 0
265875, 198351, 0, 0
266000, 48932, 1, 0
266125, 56961, 1, 0
266375, 45573, 1, 0
266625, 78575, 1, 0
266875, 107826, 0, 0
267000, 107385, 0, 0
267250, 163214, 0, 0
267625, 70349, 1, 0
268125, 48226, 1, 0
268250, 109506, 0, 0
268250, 61208, 1, 0
268500, 103481, 0, 0
268625, 144834, 0, 0
269250, 41674, 1, 0
269625, 85136, 0, 0
269750, 50757, 1, 0
269875, 129856, 0, 0
270375, 109257, 0, 0
270500, 178579, 0, 0
270750, 59456, 1, 0
270875, 60910, 1, 0
271500, 134252, 0, 0
271875, 63232, 1, 0
272000, 119740, 0, 0
272125, 129624, 0, 0
272375, 47241, 1, 0
272500, 55488, 1, 0
272625, 119344, 0, 0
272750, 48897, 1, 0
272875, 54869, 1, 0
273000, 59481, 1, 0
273125, 105034, 0, 0
273375, 126876, 0, 0
273500, 73323, 1, 0
273875, 116686, 0, 0
274125, 103218, 0, 0
274250, 114433, 0, 0
274500, 54509, 1, 0
274750, 116946, 0, 0
274750, 30720, 1, 0
275000, 128060, 0, 0
275250, 54916, 1, 0
275250, 151550, 0, 0
275500, 53810, 1, 0
275750, 54913, 1, 0
275875, 59104, 1, 0
276125, 85315, 1, 0
276250, 121713, 0, 0
276750, 121501, 0, 0
277000, 172320, 0, 0
277125, 59569, 1, 0
277375, 67624, 1, 0
277875, 61348, 1, 0
278000, 118841, 0, 0
278125, 58584, 0, 0
278375, 64560, 1, 0
278375, 88211, 0, 0
278625, 104920, 0, 0
278750, 57208, 0, 0
278875, 59492, 1, 0
279000, 113542, 0, 0
279375, 61825, 1, 0
279500, 49881, 1, 0
279500, 171905, 0, 0
279625, 74731, 1, 0
280500, 63853, 0, 0
280625, 51605, 1, 0
280750, 108710, 0, 0
280750, 43266, 1, 0
281000, 55341, 1, 0
281250, 58139, 1, 0
281250, 108420, 0, 0
281375, 60208, 0, 0
281500, 55676, 1, 0
281750, 56980, 1, 0
281875, 53952, 1, 0
281875, 77639, 0, 0
282125, 48096, 1, 0
282125, 87666, 0, 0
282250, 54356, 1, 0
282375, 128013, 0, 0
282500, 57725, 1, 0
282750, 47656, 1, 0
282875, 224910, 0, 0
283250, 51426, 1, 0
283750, 86955, 1, 0
283875, 123776, 0, 0
284125, 121840, 0, 0
284625, 74670, 0, 0
284750, 55493, 1, 0
284875, 66072, 1, 0
285125, 56368, 1, 0
285375, 58180, 1, 0
285625, 127968, 0, 0
285625, 44433, 1, 0
285875, 147355, 0, 0
286125, 119081, 1, 0
286875, 113577, 0, 0
287125, 113964, 0, 0
287125, 39685, 1, 0
287250, 48069, 1, 0
287375, 50662, 1, 0
287375, 86437, 0, 0
287875, 135524, 0, 0
288125, 102383, 0, 0
288375, 56636, 1, 0
288375, 37225, 0, 0
288625, 123184, 0, 0
288625, 36635, 1, 0
288885, 10861830, 1, 0
289000, 59973, 1, 0
289125, 106729, 0, 0
289250, 124612, 0, 0
289500, 55225, 1, 0
289750, 163533, 0, 0
289750, 55364, 1, 0
290750, 63388, 1, 0
290750, 93306, 0, 0
291000, 60865, 1, 0
291000, 143592, 0, 0
291250, 50401, 1, 0
291375, 55717, 1, 0
291625, 34733, 1, 0
291875, 78226, 1, 0
292000, 86390, 0, 0
292125, 74803, 1, 0
292250, 121773, 0, 0
292500, 199164, 0, 0
293125, 63972, 1, 0
293375, 58001, 1, 0
293500, 111198, 0, 0
293625, 49433, 1, 0
293750, 83406, 0, 0
293750, 40378, 1, 0
294000, 129053, 0, 0
294500, 128283, 0, 0
294750, 60788, 1, 0
294750, 57081, 0, 0
295000, 64409, 1, 0
295250, 54985, 1, 0
295500, 57720, 1, 0
295750, 127907, 0, 0
295750, 55349, 1, 0
295875, 97122, 0, 0
296250, 62740, 1, 0
296375, 122429, 0, 0
296500, 73003, 1, 0
296625, 198244, 0, 0
297500, 73128, 1, 0
297625, 110252, 0, 0
297875, 107273, 0, 0
298000, 54905, 1, 0
298125, 105697, 0, 0
298250, 48994, 1, 0
298375, 55428, 1, 0
298375, 165713, 0, 0
298500, 58000, 1, 0
298750, 80419, 1, 0
299375, 115123, 0, 0
299500, 105913, 0, 0
299750, 57477, 1, 0
299750, 86131, 0, 0
299875, 131495, 0, 0
300000, 60353, 1, 0
