time(msec), lat(ns), read0_write1, offset
51875, 104504, 0, 0
52000, 61788, 1, 0
52000, 157078, 0, 0
52250, 34816, 1, 0
52750, 50643, 1, 0
53000, 101780, 0, 0
53500, 101109, 0, 0
53750, 50837, 1, 0
53750, 91627, 0, 0
54000, 175216, 0, 0
54250, 57384, 1, 0
55000, 44002, 0, 0
55250, 73856, 1, 0
55250, 94995, 0, 0
55500, 106094, 0, 0
55625, 126575, 0, 0
55750, 55710, 1, 0
56000, 74603, 1, 0
56125, 126388, 0, 0
56625, 114846, 0, 0
56875, 106513, 0, 0
57000, 123972, 0, 0
57000, 47768, 1, 0
57250, 111502, 0, 0
57500, 59168, 1, 0
57750, 142627, 0, 0
58000, 55148, 1, 0
58000, 176844, 0, 0
58250, 58564, 1, 0
58500, 51134, 1, 0
59000, 143239, 0, 0
59500, 71776, 1, 0
59500, 87731, 0, 0
59625, 210992, 0, 0
59750, 68872, 1, 0
59875, 59125, 1, 0
60125, 80007, 1, 0
60625, 113976, 0, 0
61125, 67855, 1, 0
61125, 107245, 0, 0
61375, 66448, 1, 0
61375, 89652, 0, 0
61500, 166250, 0, 0
61875, 67093, 1, 0
62375, 59841, 1, 0
62500, 117533, 0, 0
62875, 78059, 1, 0
63000, 96549, 0, 0
63250, 133499, 0, 0
63375, 56112, 1, 0
63500, 120552, 0, 0
63625, 45595, 1, 0
63750, 177846, 0, 0
63750, 41953, 1, 0
64250, 56081, 1, 0
64375, 59344, 1, 0
64625, 56333, 1, 0
64750, 113509, 0, 0
64875, 63841, 1, 0
64875, 100007, 0, 0
65125, 125893, 0, 0
65375, 64516, 1, 0
65625, 124479, 0, 0
65875, 70634, 1, 0
65875, 106453, 0, 0
66125, 105134, 0, 0
66250, 198716, 0, 0
66375, 53904, 1, 0
66625, 48520, 1, 0
66750, 60765, 1, 0
67250, 133200, 0, 0
67250, 32209, 1, 0
67375, 62681, 1, 0
67750, 106456, 0, 0
67875, 54265, 1, 0
68000, 115435, 0, 0
68125, 57730, 1, 0
68250, 104090, 0, 0
68375, 59572, 1, 0
68375, 95667, 0, 0
68500, 28403, 1, 0
68750, 48093, 1, 0
68875, 98845, 0, 0
68875, 23926, 1, 0
69000, 54729, 1, 0
69125, 119585, 0, 0
69250, 58922, 1, 0
69250, 35574, 0, 0
69375, 97686, 0, 0
69625, 111854, 0, 0
69750, 55448, 1, 0
69875, 110713, 0, 0
70000, 59729, 1, 0
70000, 94128, 0, 0
70500, 55984, 1, 0
70500, 152822, 0, 0
70750, 62056, 1, 0
70875, 48717, 1, 0
71000, 78895, 1, 0
71500, 119423, 0, 0
71750, 112789, 0, 0
72000, 36123, 1, 0
72250, 54437, 1, 0
72250, 88891, 0, 0
72500, 167990, 0, 0
72500, 46157, 1, 0
73000, 56221, 1, 0
73250, 54457, 1, 0
73375, 47524, 1, 0
73500, 74727, 1, 0
73500, 107653, 0, 0
73750, 117040, 0, 0
73875, 111494, 0, 0
74375, 174574, 0, 0
74500, 72992, 1, 0
75375, 207140, 0, 0
75500, 36387, 1, 0
75750, 72073, 1, 0
76011, 11784796, 1, 0
76250, 59786, 1, 0
76375, 152747, 0, 0
76625, 135356, 0, 0
76750, 82010, 1, 0
76875, 105121, 0, 0
77000, 127084, 0, 0
77500, 172816, 0, 0
77750, 57021, 1, 0
78000, 47826, 1, 0
78125, 55325, 1, 0
78375, 63303, 1, 0
78500, 114365, 0, 0
78500, 35498, 1, 0
78625, 142866, 0, 0
78750, 77974, 1, 0
78875, 139832, 0, 0
79000, 74639, 1, 0
79375, 106614, 0, 0
79500, 165059, 0, 0
80000, 84007, 1, 0
80250, 60805, 1, 0
80500, 123256, 0, 0
80750, 124976, 0, 0
80750, 22147, 1, 0
81000, 56949, 1, 0
81250, 80860, 1, 0
81250, 109481, 0, 0
81750, 112354, 0, 0
82250, 114252, 0, 0
82250, 29553, 1, 0
82750, 129564, 0, 0
