time(msec), BW(kbps), read0_write1, offset
64750, 32, 1, 0
65000, 32, 0, 0
65000, 64, 1, 0
65250, 64, 0, 0
65500, 64, 1, 0
65750, 32, 0, 0
66000, 32, 0, 0
66000, 64, 1, 0
66250, 144, 0, 0
66500, 32, 1, 0
66750, 80, 1, 0
67500, 64, 0, 0
67500, 80, 1, 0
67750, 32, 0, 0
68000, 32, 1, 0
68250, 48, 0, 0
68250, 32, 1, 0
68500, 64, 0, 0
68500, 48, 1, 0
68750, 16, 1, 0
69000, 32, 0, 0
69000, 48, 1, 0
69250, 32, 0, 0
69250, 64, 1, 0
69500, 32, 0, 0
69750, 32, 0, 0
69750, 32, 1, 0
70000, 80, 0, 0
70000, 64, 1, 0
70500, 128, 0, 0
70500, 32, 1, 0
70750, 16, 1, 0
71000, 144, 1, 0
71500, 32, 0, 0
71750, 64, 0, 0
72000, 32, 1, 0
72250, 32, 0, 0
72250, 32, 1, 0
72500, 128, 0, 0
72500, 64, 1, 0
73000, 32, 1, 0
73250, 16, 1, 0
73500, 32, 0, 0
73500, 144, 1, 0
74000, 80, 0, 0
74500, 128, 0, 0
74500, 128, 1, 0
75500, 128, 0, 0
75500, 32, 1, 0
75750, 32, 1, 0
76250, 96, 1, 0
76500, 32, 0, 0
76750, 32, 0, 0
76750, 128, 1, 0
77000, 16, 0, 0
77250, 64, 0, 0
77500, 128, 0, 0
77750, 32, 1, 0
78000, 16, 1, 0
78250, 32, 1, 0
78500, 16, 1, 0
78750, 48, 0, 0
78750, 64, 1, 0
79000, 64, 0, 0
79000, 128, 1, 0
79500, 144, 0, 0
80001, 32, 1, 0
80250, 64, 1, 0
80500, 32, 0, 0
81000, 64, 0, 0
81000, 64, 1, 0
81250, 64, 0, 0
81250, 128, 1, 0
81750, 64, 0, 0
82500, 64, 0, 0
82500, 64, 1, 0
82750, 64, 0, 0
82750, 128, 1, 0
83250, 64, 0, 0
84000, 64, 0, 0
84000, 128, 1, 0
84250, 32, 0, 0
84750, 160, 0, 0
84750, 128, 1, 0
85750, 32, 0, 0
85750, 32, 1, 0
86250, 48, 0, 0
86250, 160, 1, 0
86500, 64, 0, 0
87000, 80, 0, 0
87250, 64, 1, 0
87750, 160, 0, 0
87750, 16, 1, 0
88000, 128, 1, 0
88750, 128, 0, 0
89000, 64, 1, 0
89500, 64, 1, 0
89750, 32, 0, 0
90000, 32, 0, 0
90000, 128, 1, 0
90250, 64, 0, 0
90750, 16, 0, 0
91000, 32, 0, 0
91000, 32, 1, 0
91250, 32, 0, 0
91250, 32, 1, 0
