time(msec), BW(kbps), read0_write1, offset
281750, 48, 1, 0
282000, 32, 0, 0
282000, 32, 1, 0
282250, 32, 0, 0
282250, 48, 1, 0
282500, 64, 0, 0
282500, 32, 1, 0
282750, 64, 1, 0
283000, 128, 0, 0
283250, 64, 1, 0
283750, 128, 1, 0
284000, 32, 0, 0
284250, 64, 0, 0
284750, 128, 0, 0
284750, 16, 1, 0
285000, 32, 1, 0
285250, 32, 1, 0
285500, 32, 1, 0
285750, 32, 0, 0
285750, 64, 1, 0
286000, 128, 0, 0
286250, 128, 1, 0
287000, 32, 0, 0
287250, 32, 0, 0
287250, 32, 1, 0
287500, 64, 0, 0
287500, 128, 1, 0
288000, 32, 0, 0
288251, 31, 0, 0
288500, 32, 0, 0
288500, 32, 1, 0
288750, 64, 0, 0
288750, 32, 1, 0
289000, 16, 1, 0
289250, 80, 0, 0
289250, 64, 1, 0
289500, 32, 1, 0
290000, 128, 0, 0
290000, 128, 1, 0
290750, 32, 0, 0
290750, 32, 1, 0
291000, 128, 0, 0
291000, 32, 1, 0
291250, 16, 1, 0
291500, 32, 1, 0
291750, 32, 1, 0
292001, 31, 0, 0
292001, 31, 1, 0
292250, 32, 0, 0
292250, 128, 1, 0
292500, 128, 0, 0
293250, 32, 1, 0
293500, 32, 0, 0
293500, 32, 1, 0
293750, 32, 0, 0
293750, 144, 1, 0
294000, 64, 0, 0
294500, 32, 0, 0
294750, 128, 0, 0
294750, 32, 1, 0
295000, 32, 1, 0
295250, 32, 1, 0
295500, 32, 1, 0
295750, 16, 0, 0
296000, 64, 0, 0
296000, 64, 1, 0
296250, 32, 1, 0
296500, 32, 0, 0
296500, 128, 1, 0
296750, 128, 0, 0
297500, 64, 1, 0
297750, 32, 0, 0
298000, 32, 0, 0
298000, 32, 1, 0
298250, 32, 0, 0
298250, 16, 1, 0
298500, 128, 0, 0
298500, 48, 1, 0
298750, 128, 1, 0
299500, 48, 0, 0
299750, 16, 0, 0
299750, 32, 1, 0
300000, 32, 0, 0
